gauge_id,gauge_name,country,gauge_lat,gauge_lon,area
camelsch_5028,Saint-Paul-en-Chablais,FR,46.35,6.64,24.897036899198863
camelsch_5029,Vacheresse,FR,46.33,6.67,168.1244288607451
camelsch_5030,Fournet-Blancheroche_[La_Rasse],FR,47.15,6.84,916.350755327613
camelsch_5031,Chamonix-Mont-Blanc_[Pont_des_Favrands],FR,45.92,6.86,194.31036298470852
camelsch_5032,Goumois,FR,47.27,6.95,1145.3121437486998
camelsch_6001,Macugnaga,I,45.97,7.95,39.36166764224137
camelsch_6002,San_Carlo,I,45.99,8.13,157.93833433347686
camelsch_6003,Villadossola,I,46.07,8.26,145.65243694543122
camelsch_6004,Ponte_Caddo,I,46.12,8.27,81.07185906225652
camelsch_6005,Domodossola,I,46.11,8.31,915.7693799323216
camelsch_6006,Pontemaglio,I,46.18,8.32,359.1767016598101
camelsch_6007,Candoglia,I,45.97,8.42,1527.2275885542538
camelsch_6008,Gravellona,I,45.93,8.43,229.02649740154527
camelsch_6009,Santino,I,45.96,8.53,121.2635325833756
camelsch_6010,Verbania,I,45.94,8.58,59.98751866428833
camelsch_6011,Miorina,I,45.7,8.65,6599.384030141587
